Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00010008.JPEG,32.52,0.9944,36.3771
ILSVRC2012_val_00010051.JPEG,31.15,0.9759,49.8998
ILSVRC2012_val_00010052.JPEG,32.85,0.9854,33.7043
ILSVRC2012_val_00010060.JPEG,34.63,0.9684,22.3967
ILSVRC2012_val_00010064.JPEG,34.4,0.9836,23.5878
ILSVRC2012_val_00010067.JPEG,42.1,0.9955,4.0059
ILSVRC2012_val_00010078.JPEG,39.32,0.9891,7.6022
ILSVRC2012_val_00010097.JPEG,31.81,0.9856,42.8766
ILSVRC2012_val_00010101.JPEG,37.08,0.9922,12.7491
ILSVRC2012_val_00010102.JPEG,33.46,0.9892,29.2835
ILSVRC2012_val_00010105.JPEG,36.98,0.9877,13.048
ILSVRC2012_val_00010126.JPEG,33.59,0.9904,28.4368
ILSVRC2012_val_00010134.JPEG,32.78,0.9808,34.309
ILSVRC2012_val_00010149.JPEG,31.97,0.9864,41.2917
ILSVRC2012_val_00010160.JPEG,40.0,0.9931,6.4969
ILSVRC2012_val_00010168.JPEG,34.16,0.9949,24.9311
ILSVRC2012_val_00010173.JPEG,52.66,0.9985,0.3528
ILSVRC2012_val_00010178.JPEG,35.53,0.9952,18.1865
ILSVRC2012_val_00010182.JPEG,33.81,0.9842,27.0176
ILSVRC2012_val_00010197.JPEG,38.53,0.9902,9.1282
ILSVRC2012_val_00010215.JPEG,35.04,0.9814,20.3887
ILSVRC2012_val_00010216.JPEG,33.21,0.984,31.0528
ILSVRC2012_val_00010225.JPEG,32.12,0.9809,39.9223
ILSVRC2012_val_00010239.JPEG,38.39,0.9787,9.4165
ILSVRC2012_val_00010241.JPEG,33.03,0.9836,32.3509
ILSVRC2012_val_00010242.JPEG,32.27,0.9723,38.5411
ILSVRC2012_val_00010260.JPEG,38.72,0.9938,8.7314
ILSVRC2012_val_00010263.JPEG,35.61,0.986,17.8761
ILSVRC2012_val_00010267.JPEG,41.32,0.9925,4.7992
ILSVRC2012_val_00010278.JPEG,42.46,0.9983,3.6931
ILSVRC2012_val_00010289.JPEG,32.02,0.9816,40.8825
ILSVRC2012_val_00010294.JPEG,35.11,0.9846,20.0299
ILSVRC2012_val_00010296.JPEG,33.96,0.9908,26.0967
ILSVRC2012_val_00010297.JPEG,31.01,0.9836,51.5425
ILSVRC2012_val_00010301.JPEG,35.43,0.976,18.6363
ILSVRC2012_val_00010319.JPEG,46.84,0.9983,1.3457
ILSVRC2012_val_00010325.JPEG,34.28,0.9782,24.2681
ILSVRC2012_val_00010331.JPEG,32.89,0.9866,33.3989
ILSVRC2012_val_00010332.JPEG,35.32,0.9833,19.1148
ILSVRC2012_val_00010340.JPEG,33.29,0.9956,30.503
ILSVRC2012_val_00010344.JPEG,65.36,0.9999,0.0189
ILSVRC2012_val_00010353.JPEG,66.31,0.9999,0.0152
ILSVRC2012_val_00010357.JPEG,32.98,0.9865,32.7125
ILSVRC2012_val_00010369.JPEG,32.6,0.9867,35.6999
ILSVRC2012_val_00010370.JPEG,32.56,0.9869,36.0417
ILSVRC2012_val_00010378.JPEG,32.47,0.9909,36.8589
ILSVRC2012_val_00010400.JPEG,39.09,0.9897,8.0216
ILSVRC2012_val_00010414.JPEG,34.66,0.9745,22.2543
ILSVRC2012_val_00010442.JPEG,33.71,0.9873,27.6443
ILSVRC2012_val_00010454.JPEG,39.19,0.9905,7.8342
ILSVRC2012_val_00010468.JPEG,34.6,0.9847,22.5208
ILSVRC2012_val_00010482.JPEG,32.53,0.9899,36.3031
ILSVRC2012_val_00010498.JPEG,31.46,0.9897,46.4413
ILSVRC2012_val_00010515.JPEG,32.18,0.9764,39.3618
ILSVRC2012_val_00010516.JPEG,33.84,0.9678,26.8315
ILSVRC2012_val_00010526.JPEG,33.28,0.9804,30.5699
ILSVRC2012_val_00010533.JPEG,31.88,0.9861,42.2147
ILSVRC2012_val_00010538.JPEG,31.49,0.9816,46.0973
ILSVRC2012_val_00010543.JPEG,32.7,0.9844,34.8865
ILSVRC2012_val_00010548.JPEG,39.02,0.9897,8.154
ILSVRC2012_val_00010553.JPEG,33.43,0.9929,29.5281
ILSVRC2012_val_00010562.JPEG,32.95,0.9808,32.9966
ILSVRC2012_val_00010564.JPEG,31.57,0.9882,45.3085
ILSVRC2012_val_00010583.JPEG,32.62,0.9814,35.5419
ILSVRC2012_val_00010599.JPEG,32.07,0.9728,40.4141
ILSVRC2012_val_00010604.JPEG,33.19,0.9844,31.2265
ILSVRC2012_val_00010617.JPEG,32.6,0.9891,35.7073
