Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00011001.JPEG,67.91,0.9999,0.0105
ILSVRC2012_val_00011002.JPEG,33.65,0.9844,28.0373
ILSVRC2012_val_00011013.JPEG,40.49,0.9926,5.8115
ILSVRC2012_val_00011015.JPEG,31.44,0.9827,46.7098
ILSVRC2012_val_00011018.JPEG,36.02,0.9894,16.2429
ILSVRC2012_val_00011019.JPEG,63.73,0.9998,0.0275
ILSVRC2012_val_00011030.JPEG,33.46,0.9845,29.3372
ILSVRC2012_val_00011036.JPEG,35.04,0.9871,20.3911
ILSVRC2012_val_00011047.JPEG,31.17,0.9816,49.6426
ILSVRC2012_val_00011059.JPEG,43.42,0.994,2.9592
ILSVRC2012_val_00011084.JPEG,33.96,0.9836,26.1224
ILSVRC2012_val_00011086.JPEG,60.2,0.9998,0.0622
ILSVRC2012_val_00011090.JPEG,31.79,0.9927,43.0404
ILSVRC2012_val_00011098.JPEG,34.47,0.987,23.2117
ILSVRC2012_val_00011101.JPEG,31.6,0.9856,44.9387
ILSVRC2012_val_00011108.JPEG,35.19,0.9888,19.6787
ILSVRC2012_val_00011119.JPEG,38.23,0.9904,9.7659
ILSVRC2012_val_00011145.JPEG,61.3,0.9998,0.0483
ILSVRC2012_val_00011147.JPEG,44.97,0.9958,2.0682
ILSVRC2012_val_00011180.JPEG,39.36,0.9886,7.5345
ILSVRC2012_val_00011188.JPEG,36.42,0.9787,14.8338
ILSVRC2012_val_00011201.JPEG,32.08,0.9929,40.2934
ILSVRC2012_val_00011224.JPEG,36.4,0.9773,14.8902
ILSVRC2012_val_00011227.JPEG,39.96,0.9906,6.5609
ILSVRC2012_val_00011235.JPEG,32.0,0.9869,41.0473
ILSVRC2012_val_00011245.JPEG,31.0,0.9725,51.6041
ILSVRC2012_val_00011247.JPEG,32.48,0.9825,36.7111
ILSVRC2012_val_00011254.JPEG,34.35,0.9846,23.8691
ILSVRC2012_val_00011256.JPEG,31.86,0.9881,42.3573
ILSVRC2012_val_00011260.JPEG,33.06,0.9781,32.1076
ILSVRC2012_val_00011261.JPEG,33.68,0.9745,27.898
ILSVRC2012_val_00011269.JPEG,35.0,0.9944,20.5843
ILSVRC2012_val_00011271.JPEG,40.59,0.992,5.682
ILSVRC2012_val_00011272.JPEG,34.57,0.9807,22.6812
ILSVRC2012_val_00011273.JPEG,43.18,0.9955,3.1235
ILSVRC2012_val_00011275.JPEG,34.05,0.9838,25.6161
ILSVRC2012_val_00011278.JPEG,31.57,0.9857,45.3454
ILSVRC2012_val_00011281.JPEG,32.14,0.9866,39.6899
ILSVRC2012_val_00011286.JPEG,42.61,0.993,3.5663
ILSVRC2012_val_00011287.JPEG,43.26,0.9988,3.0689
ILSVRC2012_val_00011291.JPEG,32.03,0.9668,40.7486
ILSVRC2012_val_00011301.JPEG,35.93,0.9896,16.5962
ILSVRC2012_val_00011325.JPEG,30.86,0.9892,53.3493
ILSVRC2012_val_00011336.JPEG,44.26,0.9953,2.4373
ILSVRC2012_val_00011340.JPEG,31.67,0.9819,44.2785
ILSVRC2012_val_00011346.JPEG,42.7,0.9962,3.4959
