Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00009010.JPEG,48.26,0.9981,0.9712
ILSVRC2012_val_00009013.JPEG,35.92,0.9849,16.6265
ILSVRC2012_val_00009047.JPEG,32.96,0.9829,32.8874
ILSVRC2012_val_00009066.JPEG,32.3,0.9736,38.2487
ILSVRC2012_val_00009116.JPEG,35.7,0.9745,17.5112
ILSVRC2012_val_00009124.JPEG,42.71,0.9905,3.4819
ILSVRC2012_val_00009125.JPEG,34.18,0.9619,24.8222
ILSVRC2012_val_00009133.JPEG,34.78,0.9833,21.6159
ILSVRC2012_val_00009158.JPEG,33.08,0.9852,32.0113
ILSVRC2012_val_00009169.JPEG,32.35,0.9871,37.8392
ILSVRC2012_val_00009171.JPEG,37.28,0.9966,12.1542
ILSVRC2012_val_00009177.JPEG,34.2,0.9865,24.7126
ILSVRC2012_val_00009179.JPEG,31.39,0.9848,47.2196
ILSVRC2012_val_00009188.JPEG,32.95,0.9873,32.9789
ILSVRC2012_val_00009208.JPEG,42.24,0.9921,3.8784
ILSVRC2012_val_00009209.JPEG,31.3,0.9823,48.2592
ILSVRC2012_val_00009215.JPEG,31.16,0.9662,49.8083
ILSVRC2012_val_00009217.JPEG,35.7,0.9857,17.5027
ILSVRC2012_val_00009218.JPEG,39.08,0.9934,8.0337
ILSVRC2012_val_00009229.JPEG,34.81,0.9831,21.4957
ILSVRC2012_val_00009231.JPEG,32.7,0.9838,34.9562
ILSVRC2012_val_00009235.JPEG,33.21,0.9816,31.0235
ILSVRC2012_val_00009237.JPEG,32.9,0.9821,33.3211
ILSVRC2012_val_00009241.JPEG,48.54,0.9985,0.9111
ILSVRC2012_val_00009248.JPEG,33.9,0.9877,26.4959
ILSVRC2012_val_00009253.JPEG,33.15,0.9834,31.5136
ILSVRC2012_val_00009274.JPEG,32.14,0.9826,39.7634
ILSVRC2012_val_00009280.JPEG,34.98,0.9949,20.6802
ILSVRC2012_val_00009298.JPEG,42.94,0.9991,3.3054
ILSVRC2012_val_00009301.JPEG,38.51,0.9896,9.1535
ILSVRC2012_val_00009303.JPEG,35.22,0.9815,19.5409
ILSVRC2012_val_00009309.JPEG,34.06,0.984,25.5139
ILSVRC2012_val_00009310.JPEG,32.29,0.9856,38.3594
ILSVRC2012_val_00009327.JPEG,32.05,0.977,40.604
ILSVRC2012_val_00009332.JPEG,40.0,0.9906,6.4962
ILSVRC2012_val_00009333.JPEG,40.08,0.9934,6.3829
ILSVRC2012_val_00009347.JPEG,32.11,0.9833,40.0387
ILSVRC2012_val_00009359.JPEG,37.0,0.9935,12.9774
ILSVRC2012_val_00009361.JPEG,48.75,0.9982,0.8675
ILSVRC2012_val_00009366.JPEG,37.25,0.9978,12.2425
ILSVRC2012_val_00009372.JPEG,32.26,0.9821,38.6794
ILSVRC2012_val_00009377.JPEG,32.73,0.9831,34.7132
ILSVRC2012_val_00009390.JPEG,32.17,0.9859,39.416
ILSVRC2012_val_00009402.JPEG,34.82,0.9835,21.4231
ILSVRC2012_val_00009404.JPEG,64.82,0.9998,0.0214
ILSVRC2012_val_00009441.JPEG,33.07,0.9812,32.0529
ILSVRC2012_val_00009443.JPEG,33.46,0.9885,29.283
ILSVRC2012_val_00009444.JPEG,46.98,0.9956,1.302
ILSVRC2012_val_00009455.JPEG,67.49,0.9999,0.0116
ILSVRC2012_val_00009461.JPEG,31.06,0.9682,50.9494
ILSVRC2012_val_00009462.JPEG,33.3,0.9833,30.4494
ILSVRC2012_val_00009468.JPEG,34.42,0.9918,23.4916
ILSVRC2012_val_00009474.JPEG,35.93,0.9806,16.5873
ILSVRC2012_val_00009478.JPEG,32.82,0.9891,33.9407
ILSVRC2012_val_00009479.JPEG,34.67,0.9852,22.179
ILSVRC2012_val_00009486.JPEG,31.92,0.9843,41.829
ILSVRC2012_val_00009487.JPEG,49.57,0.9987,0.7172
ILSVRC2012_val_00009491.JPEG,31.24,0.9863,48.8356
ILSVRC2012_val_00009508.JPEG,32.94,0.9881,33.0455
ILSVRC2012_val_00009511.JPEG,33.1,0.9899,31.8121
ILSVRC2012_val_00009515.JPEG,66.42,0.9999,0.0148
ILSVRC2012_val_00009518.JPEG,38.7,0.9894,8.7724
ILSVRC2012_val_00009527.JPEG,31.46,0.9876,46.4933
ILSVRC2012_val_00009528.JPEG,38.04,0.9872,10.2015
ILSVRC2012_val_00009549.JPEG,36.2,0.9845,15.609
ILSVRC2012_val_00009550.JPEG,34.05,0.9931,25.5781
ILSVRC2012_val_00009569.JPEG,32.46,0.9807,36.9171
ILSVRC2012_val_00009578.JPEG,33.75,0.9885,27.4097
ILSVRC2012_val_00009579.JPEG,64.49,0.9998,0.0231
ILSVRC2012_val_00009592.JPEG,32.67,0.9828,35.1916
ILSVRC2012_val_00009604.JPEG,33.6,0.9839,28.3935
ILSVRC2012_val_00009614.JPEG,32.81,0.9833,34.0605
ILSVRC2012_val_00009645.JPEG,31.41,0.9838,47.0016
ILSVRC2012_val_00009656.JPEG,32.03,0.9773,40.7433
ILSVRC2012_val_00009657.JPEG,36.06,0.9794,16.094
ILSVRC2012_val_00009661.JPEG,67.21,0.9999,0.0123
ILSVRC2012_val_00009670.JPEG,32.08,0.9829,40.3094
ILSVRC2012_val_00009681.JPEG,34.32,0.9859,24.0455
ILSVRC2012_val_00009682.JPEG,33.45,0.9583,29.368
ILSVRC2012_val_00009686.JPEG,31.21,0.994,49.2645
ILSVRC2012_val_00009707.JPEG,33.86,0.9903,26.735
ILSVRC2012_val_00009709.JPEG,34.24,0.9856,24.5188
ILSVRC2012_val_00009710.JPEG,32.65,0.9505,35.3394
ILSVRC2012_val_00009721.JPEG,37.18,0.9908,12.4576
ILSVRC2012_val_00009729.JPEG,33.78,0.9826,27.2113
ILSVRC2012_val_00009760.JPEG,33.8,0.9885,27.1262
ILSVRC2012_val_00009761.JPEG,33.7,0.9822,27.7182
ILSVRC2012_val_00009765.JPEG,37.93,0.9882,10.4782
ILSVRC2012_val_00009767.JPEG,31.45,0.9871,46.5318
ILSVRC2012_val_00009782.JPEG,37.35,0.9883,11.9727
ILSVRC2012_val_00009789.JPEG,32.83,0.9861,33.8634
ILSVRC2012_val_00009790.JPEG,67.9,0.9999,0.0105
ILSVRC2012_val_00009791.JPEG,31.41,0.9655,47.0394
ILSVRC2012_val_00009795.JPEG,32.15,0.989,39.6047
ILSVRC2012_val_00009800.JPEG,32.64,0.9889,35.4238
ILSVRC2012_val_00009803.JPEG,37.74,0.9922,10.9443
ILSVRC2012_val_00009820.JPEG,36.81,0.9877,13.547
ILSVRC2012_val_00009826.JPEG,33.75,0.9833,27.4028
ILSVRC2012_val_00009830.JPEG,31.56,0.9534,45.4413
ILSVRC2012_val_00009833.JPEG,65.75,0.9999,0.0173
ILSVRC2012_val_00009834.JPEG,35.16,0.9839,19.8194
ILSVRC2012_val_00009835.JPEG,32.02,0.9843,40.8589
ILSVRC2012_val_00009840.JPEG,32.49,0.9827,36.6469
ILSVRC2012_val_00009845.JPEG,36.18,0.9878,15.6687
ILSVRC2012_val_00009854.JPEG,33.42,0.9892,29.5547
ILSVRC2012_val_00009861.JPEG,34.62,0.9834,22.4462
ILSVRC2012_val_00009863.JPEG,32.86,0.9852,33.6748
ILSVRC2012_val_00009878.JPEG,35.2,0.9632,19.6551
ILSVRC2012_val_00009884.JPEG,32.19,0.9825,39.3057
