Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00006005.JPEG,31.94,0.9822,41.5871
ILSVRC2012_val_00006008.JPEG,36.75,0.9873,13.757
ILSVRC2012_val_00006017.JPEG,32.01,0.9843,40.9424
ILSVRC2012_val_00006029.JPEG,39.94,0.9866,6.5987
ILSVRC2012_val_00006042.JPEG,41.66,0.996,4.4359
ILSVRC2012_val_00006053.JPEG,36.37,0.9717,15.0163
ILSVRC2012_val_00006056.JPEG,34.29,0.986,24.1892
ILSVRC2012_val_00006061.JPEG,32.25,0.9913,38.7353
ILSVRC2012_val_00006104.JPEG,30.9,0.9843,52.8591
ILSVRC2012_val_00006108.JPEG,43.9,0.9959,2.6511
ILSVRC2012_val_00006110.JPEG,31.54,0.9869,45.6529
ILSVRC2012_val_00006117.JPEG,32.51,0.9816,36.4837
ILSVRC2012_val_00006130.JPEG,36.0,0.9885,16.3281
ILSVRC2012_val_00006132.JPEG,32.26,0.9811,38.6749
ILSVRC2012_val_00006146.JPEG,35.37,0.9631,18.8823
ILSVRC2012_val_00006147.JPEG,40.2,0.9915,6.2126
ILSVRC2012_val_00006156.JPEG,52.24,0.9994,0.3884
ILSVRC2012_val_00006162.JPEG,36.26,0.9841,15.3949
ILSVRC2012_val_00006165.JPEG,32.15,0.9848,39.6555
ILSVRC2012_val_00006179.JPEG,32.73,0.9816,34.6929
ILSVRC2012_val_00006182.JPEG,33.64,0.9855,28.1063
ILSVRC2012_val_00006204.JPEG,32.5,0.9824,36.5535
ILSVRC2012_val_00006211.JPEG,32.38,0.9816,37.6128
ILSVRC2012_val_00006225.JPEG,36.2,0.9874,15.5821
ILSVRC2012_val_00006228.JPEG,34.25,0.9621,24.4119
ILSVRC2012_val_00006239.JPEG,33.0,0.991,32.5525
ILSVRC2012_val_00006241.JPEG,37.55,0.9838,11.4386
ILSVRC2012_val_00006243.JPEG,41.58,0.9974,4.5208
ILSVRC2012_val_00006251.JPEG,37.57,0.9694,11.3854
ILSVRC2012_val_00006253.JPEG,32.51,0.9826,36.486
ILSVRC2012_val_00006254.JPEG,36.75,0.987,13.7388
ILSVRC2012_val_00006256.JPEG,34.57,0.9679,22.7093
ILSVRC2012_val_00006270.JPEG,44.17,0.9941,2.4873
ILSVRC2012_val_00006282.JPEG,32.47,0.9762,36.8267
ILSVRC2012_val_00006312.JPEG,38.85,0.9916,8.4668
ILSVRC2012_val_00006320.JPEG,31.82,0.9836,42.7943
ILSVRC2012_val_00006345.JPEG,32.57,0.9792,35.9896
ILSVRC2012_val_00006350.JPEG,31.74,0.9765,43.5238
ILSVRC2012_val_00006356.JPEG,33.39,0.9828,29.7687
ILSVRC2012_val_00006378.JPEG,33.19,0.9852,31.2287
ILSVRC2012_val_00006380.JPEG,40.74,0.9972,5.4852
ILSVRC2012_val_00006390.JPEG,44.71,0.9971,2.199
ILSVRC2012_val_00006392.JPEG,33.77,0.99,27.2797
ILSVRC2012_val_00006394.JPEG,32.85,0.9477,33.7436
ILSVRC2012_val_00006407.JPEG,33.99,0.9862,25.9715
ILSVRC2012_val_00006418.JPEG,32.36,0.987,37.7435
ILSVRC2012_val_00006420.JPEG,31.21,0.9811,49.1903
ILSVRC2012_val_00006433.JPEG,31.79,0.9704,43.0288
ILSVRC2012_val_00006438.JPEG,34.99,0.9671,20.6002
ILSVRC2012_val_00006440.JPEG,32.35,0.9918,37.8692
ILSVRC2012_val_00006447.JPEG,37.74,0.9837,10.9406
ILSVRC2012_val_00006451.JPEG,32.45,0.985,36.967
ILSVRC2012_val_00006456.JPEG,34.16,0.9889,24.9723
ILSVRC2012_val_00006467.JPEG,35.12,0.9857,19.997
ILSVRC2012_val_00006468.JPEG,34.41,0.9831,23.5435
ILSVRC2012_val_00006491.JPEG,33.66,0.956,27.9942
ILSVRC2012_val_00006498.JPEG,32.39,0.9866,37.4619
ILSVRC2012_val_00006518.JPEG,33.7,0.9855,27.7408
ILSVRC2012_val_00006522.JPEG,44.28,0.9948,2.4256
ILSVRC2012_val_00006536.JPEG,37.59,0.9895,11.3236
ILSVRC2012_val_00006537.JPEG,32.54,0.9861,36.2636
ILSVRC2012_val_00006541.JPEG,32.24,0.9746,38.7975
ILSVRC2012_val_00006545.JPEG,33.8,0.9806,27.102
ILSVRC2012_val_00006554.JPEG,32.78,0.9815,34.2579
ILSVRC2012_val_00006559.JPEG,64.99,0.9999,0.0206
ILSVRC2012_val_00006572.JPEG,35.33,0.987,19.0427
ILSVRC2012_val_00006582.JPEG,31.2,0.9809,49.274
ILSVRC2012_val_00006604.JPEG,31.47,0.9699,46.3567
ILSVRC2012_val_00006618.JPEG,34.36,0.9836,23.804
ILSVRC2012_val_00006619.JPEG,36.97,0.9873,13.069
ILSVRC2012_val_00006624.JPEG,37.25,0.9789,12.2439
ILSVRC2012_val_00006627.JPEG,33.26,0.9823,30.7227
ILSVRC2012_val_00006629.JPEG,39.26,0.9885,7.707
ILSVRC2012_val_00006633.JPEG,43.73,0.9971,2.7575
ILSVRC2012_val_00006638.JPEG,67.55,0.9999,0.0114
ILSVRC2012_val_00006639.JPEG,33.61,0.9824,28.3471
ILSVRC2012_val_00006647.JPEG,36.7,0.989,13.9023
ILSVRC2012_val_00006658.JPEG,32.5,0.9923,36.5952
ILSVRC2012_val_00006661.JPEG,41.9,0.9869,4.1961
ILSVRC2012_val_00006668.JPEG,33.42,0.9837,29.616
ILSVRC2012_val_00006670.JPEG,31.92,0.9899,41.7798
ILSVRC2012_val_00006675.JPEG,31.03,0.9865,51.3456
ILSVRC2012_val_00006686.JPEG,33.81,0.9827,27.026
ILSVRC2012_val_00006691.JPEG,31.27,0.9825,48.5715
