Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00005006.JPEG,31.57,0.9849,45.2987
ILSVRC2012_val_00005015.JPEG,33.02,0.981,32.4508
ILSVRC2012_val_00005027.JPEG,32.46,0.975,36.9086
ILSVRC2012_val_00005029.JPEG,32.09,0.9897,40.1622
ILSVRC2012_val_00005031.JPEG,36.44,0.9838,14.7478
ILSVRC2012_val_00005033.JPEG,32.22,0.9868,38.9821
ILSVRC2012_val_00005042.JPEG,42.25,0.999,3.8763
ILSVRC2012_val_00005063.JPEG,44.37,0.999,2.3761
ILSVRC2012_val_00005066.JPEG,65.13,0.9999,0.0199
ILSVRC2012_val_00005074.JPEG,36.55,0.9933,14.3858
ILSVRC2012_val_00005083.JPEG,33.04,0.9898,32.3112
ILSVRC2012_val_00005085.JPEG,41.61,0.9943,4.4885
ILSVRC2012_val_00005090.JPEG,31.31,0.9487,48.0849
ILSVRC2012_val_00005106.JPEG,37.59,0.9875,11.328
ILSVRC2012_val_00005109.JPEG,31.86,0.9869,42.3553
ILSVRC2012_val_00005112.JPEG,31.81,0.9805,42.8167
ILSVRC2012_val_00005118.JPEG,34.76,0.9648,21.7473
ILSVRC2012_val_00005120.JPEG,67.31,0.9999,0.0121
ILSVRC2012_val_00005121.JPEG,35.98,0.9858,16.408
ILSVRC2012_val_00005124.JPEG,31.49,0.9526,46.1353
ILSVRC2012_val_00005126.JPEG,31.38,0.9839,47.3329
ILSVRC2012_val_00005129.JPEG,34.27,0.9834,24.3213
ILSVRC2012_val_00005135.JPEG,33.52,0.9855,28.9137
ILSVRC2012_val_00005139.JPEG,44.57,0.9956,2.2705
ILSVRC2012_val_00005155.JPEG,31.92,0.9684,41.8248
ILSVRC2012_val_00005157.JPEG,35.69,0.9946,17.559
ILSVRC2012_val_00005164.JPEG,35.27,0.9772,19.3117
ILSVRC2012_val_00005169.JPEG,33.11,0.9824,31.7937
ILSVRC2012_val_00005171.JPEG,36.54,0.9867,14.4146
ILSVRC2012_val_00005172.JPEG,32.88,0.9843,33.4843
ILSVRC2012_val_00005181.JPEG,35.37,0.9881,18.8972
ILSVRC2012_val_00005187.JPEG,35.24,0.9923,19.463
ILSVRC2012_val_00005195.JPEG,31.93,0.983,41.7147
ILSVRC2012_val_00005196.JPEG,38.67,0.9903,8.8244
ILSVRC2012_val_00005200.JPEG,34.23,0.9898,24.5326
ILSVRC2012_val_00005205.JPEG,32.16,0.9831,39.565
ILSVRC2012_val_00005211.JPEG,33.75,0.9907,27.4522
ILSVRC2012_val_00005212.JPEG,43.34,0.9958,3.0103
ILSVRC2012_val_00005218.JPEG,36.76,0.9885,13.7063
ILSVRC2012_val_00005239.JPEG,36.54,0.9873,14.4346
ILSVRC2012_val_00005240.JPEG,31.97,0.9908,41.2841
ILSVRC2012_val_00005241.JPEG,32.79,0.9825,34.2061
ILSVRC2012_val_00005245.JPEG,36.61,0.987,14.2093
ILSVRC2012_val_00005260.JPEG,33.56,0.9849,28.6299
ILSVRC2012_val_00005278.JPEG,49.14,0.9994,0.7918
ILSVRC2012_val_00005283.JPEG,40.31,0.9945,6.0522
ILSVRC2012_val_00005296.JPEG,43.03,0.9939,3.2354
ILSVRC2012_val_00005306.JPEG,67.81,0.9999,0.0108
ILSVRC2012_val_00005323.JPEG,32.54,0.9873,36.2533
ILSVRC2012_val_00005337.JPEG,33.57,0.9829,28.6003
ILSVRC2012_val_00005338.JPEG,34.38,0.985,23.7255
ILSVRC2012_val_00005350.JPEG,33.62,0.9819,28.2466
ILSVRC2012_val_00005351.JPEG,32.1,0.9872,40.1395
ILSVRC2012_val_00005369.JPEG,35.27,0.9853,19.3369
ILSVRC2012_val_00005370.JPEG,57.73,0.9991,0.1096
ILSVRC2012_val_00005377.JPEG,31.62,0.9837,44.7634
ILSVRC2012_val_00005396.JPEG,33.91,0.9708,26.4309
ILSVRC2012_val_00005397.JPEG,32.3,0.9818,38.3005
ILSVRC2012_val_00005398.JPEG,32.48,0.9826,36.7102
ILSVRC2012_val_00005409.JPEG,37.01,0.9864,12.9523
ILSVRC2012_val_00005410.JPEG,34.59,0.9749,22.618
ILSVRC2012_val_00005415.JPEG,31.37,0.9742,47.4618
ILSVRC2012_val_00005425.JPEG,32.8,0.983,34.1049
