Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00007006.JPEG,40.57,0.989,5.6982
ILSVRC2012_val_00007018.JPEG,33.54,0.9857,28.775
ILSVRC2012_val_00007026.JPEG,36.37,0.9909,15.0153
ILSVRC2012_val_00007027.JPEG,31.73,0.9934,43.6371
ILSVRC2012_val_00007028.JPEG,32.28,0.9618,38.4461
ILSVRC2012_val_00007031.JPEG,34.77,0.9954,21.6897
ILSVRC2012_val_00007045.JPEG,37.95,0.9914,10.4256
ILSVRC2012_val_00007065.JPEG,37.28,0.9885,12.1611
ILSVRC2012_val_00007100.JPEG,35.19,0.9856,19.6809
ILSVRC2012_val_00007115.JPEG,32.7,0.9621,34.949
ILSVRC2012_val_00007121.JPEG,34.5,0.9741,23.0668
ILSVRC2012_val_00007123.JPEG,34.66,0.9852,22.2476
ILSVRC2012_val_00007128.JPEG,32.41,0.991,37.2983
ILSVRC2012_val_00007140.JPEG,37.96,0.9754,10.4079
ILSVRC2012_val_00007151.JPEG,36.42,0.9744,14.8152
ILSVRC2012_val_00007152.JPEG,34.83,0.9872,21.3925
ILSVRC2012_val_00007160.JPEG,36.56,0.9863,14.3431
ILSVRC2012_val_00007166.JPEG,66.28,0.9999,0.0153
ILSVRC2012_val_00007170.JPEG,33.05,0.9827,32.2101
ILSVRC2012_val_00007174.JPEG,31.33,0.9859,47.8352
ILSVRC2012_val_00007181.JPEG,32.98,0.987,32.7706
ILSVRC2012_val_00007182.JPEG,36.84,0.9862,13.4527
ILSVRC2012_val_00007195.JPEG,32.19,0.9794,39.2953
ILSVRC2012_val_00007196.JPEG,31.59,0.987,45.0557
ILSVRC2012_val_00007199.JPEG,31.62,0.9889,44.7533
ILSVRC2012_val_00007202.JPEG,68.0,0.9999,0.0103
ILSVRC2012_val_00007210.JPEG,35.43,0.9891,18.6365
ILSVRC2012_val_00007213.JPEG,32.67,0.9847,35.1349
ILSVRC2012_val_00007217.JPEG,34.98,0.983,20.6403
ILSVRC2012_val_00007222.JPEG,33.9,0.9818,26.5096
ILSVRC2012_val_00007226.JPEG,39.33,0.9923,7.5859
ILSVRC2012_val_00007232.JPEG,32.48,0.9881,36.7059
ILSVRC2012_val_00007236.JPEG,32.16,0.983,39.4999
ILSVRC2012_val_00007246.JPEG,32.69,0.9879,34.9744
ILSVRC2012_val_00007262.JPEG,35.58,0.9832,17.9769
ILSVRC2012_val_00007268.JPEG,31.59,0.9921,45.053
ILSVRC2012_val_00007277.JPEG,43.46,0.9994,2.9323
ILSVRC2012_val_00007281.JPEG,32.77,0.9883,34.4017
ILSVRC2012_val_00007286.JPEG,33.87,0.9832,26.6904
ILSVRC2012_val_00007287.JPEG,32.01,0.9811,40.9091
ILSVRC2012_val_00007288.JPEG,32.69,0.9831,34.9815
ILSVRC2012_val_00007292.JPEG,40.42,0.9907,5.9098
ILSVRC2012_val_00007293.JPEG,34.61,0.9792,22.4889
ILSVRC2012_val_00007315.JPEG,39.69,0.9929,6.9782
ILSVRC2012_val_00007316.JPEG,33.8,0.9724,27.1044
ILSVRC2012_val_00007325.JPEG,43.34,0.9957,3.0169
ILSVRC2012_val_00007336.JPEG,32.48,0.9822,36.7324
ILSVRC2012_val_00007337.JPEG,33.76,0.9824,27.3674
ILSVRC2012_val_00007338.JPEG,31.8,0.9859,42.9502
ILSVRC2012_val_00007340.JPEG,35.47,0.9871,18.4444
